Hour,Day_Num,Month,Is_Weekend,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,Primary Type,Is_Night,TSNE1,TSNE2,Time_Period
20,1,10,0,6,41.867428687,-87.626342565,1,4,123,32,1,0,ASSAULT,1,-3.7274296,-0.044438764,Night (8PM-6AM)
17,1,7,0,2,41.871672644,-87.721702548,11,24,1133,26,0,0,OTHER OFFENSE,0,3.6507857,-11.818486,Day (6AM-8PM)
11,4,10,0,6,41.829824529,-87.685019955,9,12,911,59,0,0,ASSAULT,0,-4.734245,-3.1124647,Day (6AM-8PM)
20,1,7,0,6,41.989187404,-87.69084305,20,40,2011,2,0,0,ASSAULT,1,5.80666,-1.5718637,Night (8PM-6AM)
11,6,3,1,4,41.789840632,-87.652336244,7,16,712,68,1,0,NARCOTICS,0,-1.7319502,5.436412,Day (6AM-8PM)
19,0,5,0,4,41.890054816,-87.765209919,15,37,1523,25,1,0,NARCOTICS,0,2.8388307,-1.0431106,Day (6AM-8PM)
8,4,7,0,2,41.885729678,-87.625836018,1,34,111,32,1,0,PUBLIC PEACE VIOLATION,0,-4.7752414,1.1793286,Day (6AM-8PM)
2,6,8,1,3,41.946241881,-87.655743334,19,44,1924,6,0,0,DECEPTIVE PRACTICE,1,8.307884,7.715176,Night (8PM-6AM)
18,0,3,0,6,41.754383027,-87.583378413,4,8,414,43,1,0,ASSAULT,0,-3.1974728,-0.7227972,Day (6AM-8PM)
7,5,4,1,5,41.799945261,-87.698858003,9,14,923,63,0,0,MOTOR VEHICLE THEFT,0,-7.715352,8.09566,Day (6AM-8PM)
3,0,4,0,3,41.858880162,-87.654977778,12,25,1235,31,0,0,CRIMINAL DAMAGE,1,3.7960396,-8.548416,Night (8PM-6AM)
4,2,7,0,5,41.901422196,-87.686985067,12,1,1212,24,0,0,BURGLARY,1,1.5867686,-7.62288,Night (8PM-6AM)
1,4,5,0,3,41.966647537,-87.706410271,17,33,1713,14,0,0,CRIMINAL DAMAGE,1,5.3695273,-6.6277347,Night (8PM-6AM)
1,1,3,0,6,41.781231428,-87.620606304,3,20,311,40,1,1,BATTERY,1,-1.5288448,1.8209436,Night (8PM-6AM)
5,2,12,0,5,41.965475014,-87.686488794,19,47,1911,4,0,0,BURGLARY,1,6.089184,-2.8436503,Night (8PM-6AM)
15,2,10,0,2,41.903196526,-87.751957281,25,37,2533,25,0,0,OTHER OFFENSE,0,13.692017,0.27472094,Day (6AM-8PM)
0,1,7,0,3,41.91058325,-87.726353375,25,26,2535,23,0,0,THEFT,1,12.4389515,0.855564,Night (8PM-6AM)
11,4,7,0,6,42.0065892,-87.671675138,24,49,2431,1,0,0,BATTERY,0,6.69364,-1.3648373,Day (6AM-8PM)
7,0,9,0,2,41.994470603,-87.695877503,24,50,2413,2,0,0,OTHER OFFENSE,0,9.240931,-2.6437333,Day (6AM-8PM)
7,2,4,0,3,41.874002251,-87.629648123,1,4,123,32,0,0,CRIMINAL DAMAGE,0,-8.362394,-7.871705,Day (6AM-8PM)
14,6,4,1,6,41.747455904,-87.556455251,4,7,422,46,1,1,BATTERY,0,-1.0599933,3.5028083,Day (6AM-8PM)
23,5,9,1,5,41.871466279,-87.727814059,11,24,1132,26,0,1,OFFENSE INVOLVING CHILDREN,1,2.9825723,5.822035,Night (8PM-6AM)
16,6,5,1,3,41.879225851,-87.646636417,12,34,1232,28,0,0,THEFT,0,4.4240355,13.144663,Day (6AM-8PM)
