Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.770472514,-87.657167414,0,OFFENSE INVOLVING CHILDREN,2,0,0
41.766897557,-87.575098672,0,BATTERY,5,0,7
41.881415781,-87.669508919,0,ASSAULT,0,0,1
41.871021587,-87.699811486,1,NARCOTICS,1,0,1
41.691617707,-87.696624784,0,BURGLARY,6,0,0
41.891520472,-87.647624933,0,THEFT,0,0,6
41.844141376,-87.732457468,1,CRIMINAL TRESPASS,1,0,1
41.983729989,-87.668807608,0,CRIMINAL DAMAGE,4,0,2
41.761661446,-87.558237537,0,CRIMINAL DAMAGE,5,0,7
41.971143235,-87.690163925,1,CRIMINAL DAMAGE,4,0,2
41.864922864,-87.734931904,0,MOTOR VEHICLE THEFT,1,0,1
41.707519433,-87.601839023,0,ASSAULT,5,0,5
41.915187259,-87.775425225,0,MOTOR VEHICLE THEFT,3,0,4
41.944289661,-87.747842161,0,BURGLARY,3,0,4
41.875272573,-87.624251314,0,CRIMINAL DAMAGE,0,0,6
41.95923981,-87.718895205,0,CRIMINAL DAMAGE,4,0,1
41.923237855,-87.70560443,0,STALKING,1,0,1
41.786651559,-87.615783168,0,THEFT,2,0,3
41.77839975,-87.6836207,0,BATTERY,7,0,0
41.931786398,-87.648979902,0,MOTOR VEHICLE THEFT,0,0,2
41.760263493,-87.574931204,0,DECEPTIVE PRACTICE,5,0,7
41.990320609,-87.714288952,1,ROBBERY,4,0,1
41.697625726,-87.613507428,0,CRIMINAL SEXUAL ASSAULT,6,0,5
41.887744703,-87.653677239,0,THEFT,0,0,6
41.881631341,-87.632355275,0,DECEPTIVE PRACTICE,0,0,6
41.990985478,-87.803860476,0,SEX OFFENSE,3,0,4
41.794828373,-87.580442725,0,CRIMINAL DAMAGE,5,0,3
41.87670756,-87.751117882,0,THEFT,1,0,1
41.956132753,-87.669491442,0,CRIMINAL TRESPASS,4,0,2
41.807887928,-87.722790148,0,THEFT,7,0,0
41.689402074,-87.668824981,0,KIDNAPPING,6,0,5
41.915991422,-87.748424207,0,ROBBERY,3,0,1
41.808293763,-87.693486392,0,ROBBERY,7,0,0
41.903892302,-87.631858359,1,ASSAULT,0,0,6
41.90731482,-87.694474985,0,MOTOR VEHICLE THEFT,1,0,2
41.841855999,-87.628741678,0,ASSAULT,0,0,3
42.010257474,-87.671077828,0,OTHER OFFENSE,4,0,2
41.670234415,-87.539318057,0,THEFT,5,0,7
41.900546929,-87.633632427,0,STALKING,0,0,6
41.785848109,-87.607582382,0,ASSAULT,2,0,3
41.839709055,-87.736605425,0,OTHER OFFENSE,1,0,1
41.92843502,-87.648865054,0,CRIMINAL DAMAGE,0,0,2
41.993798365,-87.714957869,0,MOTOR VEHICLE THEFT,4,0,1
41.941479009,-87.729714007,0,MOTOR VEHICLE THEFT,1,0,1
41.690404133,-87.613306025,0,ROBBERY,6,0,5
41.751277105,-87.671950894,0,THEFT,7,0,0
41.779396292,-87.635035324,1,WEAPONS VIOLATION,2,0,0
41.881765992,-87.648302097,0,THEFT,0,0,6
42.012044156,-87.663078088,1,OTHER OFFENSE,4,0,2
41.904631093,-87.709978191,0,ASSAULT,1,0,1
41.969137684,-87.651257255,0,CRIMINAL DAMAGE,4,0,2
41.737620589,-87.612936407,0,MOTOR VEHICLE THEFT,6,0,3
41.725972556,-87.657927279,0,THEFT,6,0,5
41.900190488,-87.628299103,0,THEFT,0,0,6
41.962222377,-87.655441678,0,ASSAULT,4,0,2
41.893541578,-87.629701805,1,NARCOTICS,0,0,6
41.853081741,-87.676731968,0,THEFT,0,0,6
41.970207317,-87.657651632,0,OTHER OFFENSE,4,0,2
41.892833376,-87.773313264,0,ASSAULT,3,0,1
41.761292673,-87.56093597,0,ASSAULT,5,0,7
41.925078949,-87.673734337,0,THEFT,4,0,2
41.874060099,-87.705924314,0,ASSAULT,1,0,1
41.870028132,-87.708823855,0,MOTOR VEHICLE THEFT,1,0,1
41.788987036,-87.74147999,0,DECEPTIVE PRACTICE,7,0,0
41.944159847,-87.795933477,0,BATTERY,3,0,4
41.902664851,-87.642594393,1,BATTERY,0,0,6
41.872871925,-87.696962349,1,NARCOTICS,1,0,1
41.800232548,-87.685428346,0,CRIMINAL DAMAGE,7,0,0
41.780946398,-87.621995369,0,CRIMINAL DAMAGE,2,0,3
41.702532285,-87.629407887,0,BATTERY,6,0,5
41.678348206,-87.67508119,0,THEFT,6,0,5
41.731607819,-87.666587664,0,CRIMINAL SEXUAL ASSAULT,6,0,0
41.696848672,-87.67141401,0,OTHER OFFENSE,6,0,5
