Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
10,5,12,1,0,3,41.936916343,-87.672098127,19,32,1931,6,0,0,2.338489780833868,1.5208254660996285,THEFT
22,6,12,1,1,7,41.886018055,-87.633937881,1,42,122,32,0,0,-0.6483568462047924,2.2619633383830595,CRIMINAL DAMAGE
10,4,3,0,0,6,41.766925938,-87.614082231,3,6,322,69,0,0,-2.756415077401503,-0.10190008209494784,MOTOR VEHICLE THEFT
10,4,1,0,0,5,41.893983593,-87.634677382,18,42,1831,8,0,0,1.9907230443442183,-0.18963119188787572,BURGLARY
21,6,3,1,1,6,41.908430535,-87.638509526,18,27,1821,8,0,1,1.443634702148753,2.505728853244338,BATTERY
0,5,8,1,1,8,41.881441785,-87.667837814,12,27,1224,28,0,0,0.47914274648502553,2.3024279473263847,WEAPONS VIOLATION
9,4,5,0,0,2,41.683978218,-87.615270364,5,9,532,53,0,0,-2.4381019163735362,-0.35155275602053765,THEFT
1,3,9,0,1,6,41.765033206,-87.599459636,3,5,324,69,1,1,-3.073469669371523,0.18632753500446184,CRIMINAL DAMAGE
11,5,9,1,0,5,41.858985411,-87.714430296,10,24,1021,29,1,0,0.37933838099842304,1.6623234201804566,INTIMIDATION
4,3,10,0,1,3,41.963647298,-87.699762457,17,33,1724,14,0,0,2.2323307549590217,-0.28986306853234994,OTHER OFFENSE
7,2,3,0,0,3,41.835486947,-87.651078289,9,11,913,60,0,0,-1.0755796931078596,-0.9391061809719994,BATTERY
8,2,1,0,0,2,41.80171934,-87.630703621,2,20,225,37,1,0,-1.5502312256982222,-1.042621603823403,THEFT
22,1,3,0,1,6,41.901607568,-87.625348532,18,42,1824,8,1,1,1.7501504320047439,-0.7668770763795747,BATTERY
14,5,2,1,0,3,41.902275555,-87.706772215,11,26,1121,23,0,0,0.9130284590094416,1.5223514916666838,BATTERY
7,3,10,0,0,6,41.773096197,-87.671327201,7,16,726,67,0,1,-1.755177022690729,-0.1766504760821734,CRIMINAL DAMAGE
16,4,6,0,0,3,41.926110363,-87.761141912,25,30,2515,19,0,0,3.243889242077209,-0.35740463161435027,NARCOTICS
7,4,7,0,0,10,41.737771151,-87.534822726,4,10,424,46,1,0,-2.860259696351673,0.13956692597338827,OTHER OFFENSE
19,1,7,0,0,3,41.884493583,-87.626980736,1,42,111,32,0,0,-0.594310419935621,-1.4955562647331562,NARCOTICS
10,4,10,0,0,6,41.706070186,-87.653645803,22,21,2232,73,0,0,-0.07563592245805903,-0.09265717156211362,BATTERY
