Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.88486975,-87.749112116,0,MOTOR VEHICLE THEFT,1,0,1,5
41.788786066,-87.622315729,1,BATTERY,2,0,3,6
41.854322771,-87.730919627,0,CRIMINAL DAMAGE,1,0,1,3
41.829395788,-87.675256892,0,BATTERY,7,0,0,6
41.838982054,-87.66160267,0,CRIMINAL DAMAGE,0,0,3,3
41.807820161,-87.727614164,0,CRIMINAL DAMAGE,7,0,0,3
41.8919534,-87.612563748,0,ROBBERY,0,0,6,7
41.884033695,-87.724981565,0,THEFT,1,0,1,3
41.785609333,-87.700891383,0,THEFT,7,0,0,3
41.750787418,-87.607647625,0,MOTOR VEHICLE THEFT,2,0,3,5
41.807007819,-87.604321257,0,ROBBERY,2,0,3,7
41.73646369,-87.585210026,1,CRIMINAL DAMAGE,5,0,7,3
41.872028865,-87.690453568,0,MOTOR VEHICLE THEFT,1,0,1,5
41.891349194,-87.749166932,0,DECEPTIVE PRACTICE,1,0,1,3
41.817226657,-87.637368542,0,THEFT,2,0,3,3
41.72932687,-87.631943657,0,DECEPTIVE PRACTICE,6,0,5,3
41.67150655,-87.633281772,0,CRIMINAL DAMAGE,6,0,5,3
41.890336879,-87.625329768,0,CRIMINAL DAMAGE,0,0,6,3
41.881183664,-87.685081252,0,THEFT,1,0,1,3
41.874680746,-87.683792083,0,CRIMINAL DAMAGE,1,0,1,3
41.937678194,-87.6844212,0,THEFT,4,0,2,3
41.881150589,-87.758763376,0,BATTERY,3,0,1,6
41.895226353,-87.634164316,0,THEFT,0,0,6,3
41.924085205,-87.757863874,0,BATTERY,3,0,1,6
41.770020864,-87.6913338,0,BATTERY,7,0,0,6
41.881224307,-87.66441395,1,BATTERY,0,0,6,6
41.894211229,-87.715056305,0,BURGLARY,1,0,1,5
41.934670929,-87.746720994,1,BATTERY,3,0,1,6
41.756440904,-87.552835809,1,OTHER OFFENSE,5,0,7,2
41.84449713,-87.706594911,0,HOMICIDE,1,0,1,10
41.849497705,-87.705184405,0,ASSAULT,1,0,1,6
41.747631422,-87.560099333,0,THEFT,5,0,7,3
41.902962814,-87.692567794,0,ASSAULT,1,0,2,6
41.689858036,-87.623900437,0,THEFT,6,0,5,3
41.777215693,-87.698612813,0,THEFT,7,0,0,3
41.721262518,-87.658727525,1,BATTERY,6,0,5,6
41.733611017,-87.652058564,1,CRIMINAL DAMAGE,6,0,5,3
41.919253319,-87.634817004,0,CRIMINAL DAMAGE,0,0,2,3
41.862415847,-87.60930894,0,BATTERY,0,0,6,6
42.000894418,-87.671572263,1,BATTERY,4,0,2,6
41.936834364,-87.759954481,0,OTHER OFFENSE,3,0,4,2
41.770020864,-87.6913338,0,MOTOR VEHICLE THEFT,7,0,0,5
41.907219171,-87.63155009,0,THEFT,0,0,6,3
41.785643489,-87.702112057,0,SEX OFFENSE,7,0,0,7
41.874180626,-87.66785807,0,ASSAULT,0,0,6,6
41.774363494,-87.610666703,1,MOTOR VEHICLE THEFT,2,0,3,5
41.691734822,-87.686635443,1,NARCOTICS,6,0,5,4
41.795215196,-87.585044243,0,THEFT,2,0,3,3
41.8920906,-87.763458325,0,MOTOR VEHICLE THEFT,3,0,1,5
41.887270825,-87.698916468,0,THEFT,1,0,1,3
41.801307936,-87.584690956,0,SEX OFFENSE,2,0,3,7
41.884481993,-87.630010542,0,THEFT,0,0,6,3
41.778482801,-87.672679658,0,OTHER OFFENSE,7,0,0,2
41.998031985,-87.672959422,0,DECEPTIVE PRACTICE,4,0,2,3
41.89031518,-87.619607985,0,THEFT,0,0,6,3
41.774319025,-87.605795029,1,THEFT,2,0,3,3
41.729170867,-87.551235346,0,THEFT,5,0,7,3
41.935432921,-87.668504341,1,THEFT,4,0,2,3
41.832263639,-87.67145175,0,BURGLARY,7,0,0,5
41.850234493,-87.684200952,0,THEFT,1,0,1,3
41.761069905,-87.616764648,0,MOTOR VEHICLE THEFT,2,0,3,5
41.758331912,-87.653941271,1,THEFT,6,0,0,3
41.885741029,-87.631711749,1,INTERFERENCE WITH PUBLIC OFFICER,0,0,6,2
41.71693263,-87.675885346,0,OTHER OFFENSE,6,0,5,2
41.758823934,-87.70872669,0,DECEPTIVE PRACTICE,7,0,0,3
41.771471841,-87.71623639,0,THEFT,7,0,0,3
41.810196952,-87.688339453,1,WEAPONS VIOLATION,7,0,0,5
41.902451213,-87.666337686,0,ROBBERY,0,0,2,7
41.844023772,-87.626923253,0,THEFT,0,0,3,3
